Bin.Id	Source	Genome.size..bp.	GC	Coding.density
GCA_001007635.1_ASM100763v1	K_A._aerophoba	2209101	59.2	87.62
GCA_002238415.1_ASM223841v1	K_A._aerophoba	5243325	57.8	89.55
GCA_002238425.1_ASM223842v1	K_A._aerophoba	3223809	65.6	87.22
GCA_002238445.1_ASM223844v1	K_A._aerophoba	5553230	58.5	83.99
GCA_002238485.1_ASM223848v1	K_A._aerophoba	3661680	59.3	92.48
GCA_002238505.1_ASM223850v1	K_A._aerophoba	4393250	59.2	82.91
GCA_002238525.1_ASM223852v1	K_A._aerophoba	2958200	36.2	84.74
GCA_002238555.1_ASM223855v1	K_A._aerophoba	4630258	63.1	85.56
GCA_002238565.1_ASM223856v1	K_A._aerophoba	5604958	58	81.61
GCA_002238605.1_ASM223860v1	K_A._aerophoba	4472840	68	90.05
GCA_002238645.1_ASM223864v1	K_A._aerophoba	4202507	66.5	88.35
GCA_002238685.1_ASM223868v1	K_A._aerophoba	4529396	63.7	88.5
GCA_002238725.1_ASM223872v1	K_A._aerophoba	4288405	66.2	87.64
GCA_002238765.1_ASM223876v1	K_A._aerophoba	3038306	56.2	86.36
GCA_002238785.1_ASM223878v1	K_A._aerophoba	3484732	61.6	88.54
GCA_002238805.1_ASM223880v1	K_A._aerophoba	4077491	51	87.26
GCA_002238825.1_ASM223882v1	K_A._aerophoba	4958136	62.8	84.95
GCA_002238855.1_ASM223885v1	K_A._aerophoba	4606320	57.1	85.57
GCA_002238865.1_ASM223886v1	K_A._aerophoba	4420540	66.9	91.6
GCA_002238905.1_ASM223890v1	K_A._aerophoba	1583477	40.6	84.42
GCA_002238925.1_ASM223892v1	K_A._aerophoba	4776897	67.4	90.03
GCA_002238965.1_ASM223896v1	K_A._aerophoba	4372169	59.5	85.74
GCA_002239005.1_ASM223900v1	K_A._aerophoba	3211324	62.2	83.73
GCA_002239025.1_ASM223902v1	K_A._aerophoba	3681665	62.3	88.62
GCA_002239045.1_ASM223904v1	K_A._aerophoba	3017767	56.3	89.75
GCA_002239065.1_ASM223906v1	K_A._aerophoba	4831323	69.5	90.39
GCA_002239085.1_ASM223908v1	K_A._aerophoba	3744517	42	80.46
GCA_002239105.1_ASM223910v1	K_A._aerophoba	3684518	64.3	93.03
jk18x27bins.11	C_I._vansoesti	4025868	67.5	88.21
jk18x27bins.12	C_I._vansoesti	3817048	68.3	92.19
jk18x27bins.16	C_I._vansoesti	3564871	62.8	87.93
jk18x27bins.2	C_I._vansoesti	2308614	56.2	90.56
jk18x27bins.21	C_I._vansoesti	2885958	67.7	92.65
jk18x27bins.25	C_I._vansoesti	3793995	70.5	91.61
jk18x27bins.27	C_I._vansoesti	3879563	64.7	89.6
jk18x27bins.35	C_I._vansoesti	4188171	67.8	91.45
jk18x27bins.36	C_I._vansoesti	5267836	64.4	87.93
jk18x27bins.37	C_I._vansoesti	3775704	63.1	90.21
jk18x27bins.38	C_I._vansoesti	3292821	65.2	86.18
jk18x27bins.44	C_I._vansoesti	5173183	60.7	86.62
jk18x27bins.46	C_I._vansoesti	4106269	59.5	89.36
jk18x27bins.47	C_I._vansoesti	4490311	67.4	92.06
jk18x27bins.49	C_I._vansoesti	4341921	40.3	86.58
jk18x27bins.51	C_I._vansoesti	3631697	62.6	86.07
jk18x27bins.53	C_I._vansoesti	5216379	47.9	87.5
jk18x27bins.56	C_I._vansoesti	4770202	69.5	88.72
jk18x27bins.63	C_I._vansoesti	4279116	65.9	88.67
jk18x27bins.66	C_I._vansoesti	2550087	61.7	89.47
jk18x27bins.67	C_I._vansoesti	4378361	68.7	93.71
jk18x27bins.68	C_I._vansoesti	1721978	50.2	89.33
jk18x27bins.69	C_I._vansoesti	3484561	70.1	92.49
jk18x27bins.7	C_I._vansoesti	5138534	51.2	93.31
jk18x27bins.71	C_I._vansoesti	2112504	60	85.03
jk18x27bins.72	C_I._vansoesti	3803981	64.6	93
jk18x34bins.12	C_I._vansoesti	4760116	67.9	90.71
jk18x34bins.13	C_I._vansoesti	2874954	64.9	89.93
jk18x34bins.15	C_I._vansoesti	2669281	61.6	90.91
jk18x34bins.19	C_I._vansoesti	3848859	66.2	85.02
jk18x34bins.22	C_I._vansoesti	3210057	61.2	91.96
jk18x34bins.24	C_I._vansoesti	5127195	59.2	93.56
jk18x34bins.26	C_I._vansoesti	4409628	68.5	89.73
jk18x34bins.29	C_I._vansoesti	3679672	63.4	89.59
jk18x34bins.3	C_I._vansoesti	3544812	68.5	91.59
jk18x34bins.36	C_I._vansoesti	3613582	69.6	92.9
jk18x34bins.37	C_I._vansoesti	3693839	69.2	93.22
jk18x34bins.42	C_I._vansoesti	1953099	50.3	90.8
jk18x34bins.43	C_I._vansoesti	3832572	60.7	85.09
jk18x34bins.47	C_I._vansoesti	2539714	56.1	90.05
jk18x34bins.51	C_I._vansoesti	4710222	68.4	91.48
jk18x34bins.52	C_I._vansoesti	3332070	65	94.15
jk18x34bins.53	C_I._vansoesti	4752108	58.1	90.64
jk18x34bins.55	C_I._vansoesti	2629681	70.1	91.81
jk18x34bins.57	C_I._vansoesti	5494681	50.9	93.02
jk18x34bins.59	C_I._vansoesti	1735078	57.2	89.7
jk18x34bins.62	C_I._vansoesti	3787648	62.5	90.74
jk18x34bins.63	C_I._vansoesti	3385631	69.9	91.47
jk18x34bins.64	C_I._vansoesti	4999207	41.8	89.02
jk18x34bins.7	C_I._vansoesti	4951912	48.3	89.66
jk18x22bins.10	D_I._ruetzleri	5061612	48.7	89.35
jk18x22bins.101	D_I._ruetzleri	4705750	56.7	88.99
jk18x22bins.103	D_I._ruetzleri	3435110	62.7	87.11
jk18x22bins.106	D_I._ruetzleri	3640193	59.2	91.48
jk18x22bins.107	D_I._ruetzleri	3379777	61.6	91.44
jk18x22bins.14	D_I._ruetzleri	4859163	60.7	86.53
jk18x22bins.16	D_I._ruetzleri	5180572	66.9	88.75
jk18x22bins.18	D_I._ruetzleri	3026118	57.5	87.5
jk18x22bins.2	D_I._ruetzleri	5581596	50.9	92.64
jk18x22bins.20	D_I._ruetzleri	3763338	64.7	93.06
jk18x22bins.3	D_I._ruetzleri	5203907	47.9	88.02
jk18x22bins.30	D_I._ruetzleri	3597012	65	90.6
jk18x22bins.31	D_I._ruetzleri	4480841	68.3	89.06
jk18x22bins.33	D_I._ruetzleri	3850216	69.7	90.28
jk18x22bins.35	D_I._ruetzleri	4979526	60.6	87.1
jk18x22bins.39	D_I._ruetzleri	3835180	59.8	89.68
jk18x22bins.40	D_I._ruetzleri	1990129	61.6	90.69
jk18x22bins.41	D_I._ruetzleri	5872011	67.7	89.63
jk18x22bins.47	D_I._ruetzleri	4612608	48.1	89.43
jk18x22bins.50	D_I._ruetzleri	4265850	68.6	93.98
jk18x22bins.52	D_I._ruetzleri	2820046	61.3	92.72
jk18x22bins.55	D_I._ruetzleri	3640840	67.2	90.16
jk18x22bins.6	D_I._ruetzleri	3926247	68	91.57
jk18x22bins.60	D_I._ruetzleri	2642140	61.7	89.38
jk18x22bins.63	D_I._ruetzleri	4856912	67.8	90.27
jk18x22bins.65	D_I._ruetzleri	2017280	60.5	85.59
jk18x22bins.66	D_I._ruetzleri	3709492	51.7	88.43
jk18x22bins.7	D_I._ruetzleri	5707692	69	90.26
jk18x22bins.70	D_I._ruetzleri	3542250	65.9	88.63
jk18x22bins.71	D_I._ruetzleri	2377051	56.2	87.82
jk18x22bins.75	D_I._ruetzleri	6341388	58.7	92.74
jk18x22bins.76	D_I._ruetzleri	5136435	43.2	87.92
jk18x22bins.80	D_I._ruetzleri	2817722	66.7	91.6
jk18x22bins.85	D_I._ruetzleri	3772060	59	87.88
jk18x22bins.90	D_I._ruetzleri	4324103	58.8	88.87
jk18x22bins.97	D_I._ruetzleri	3486680	69	93.36
jk18x22bins.99	D_I._ruetzleri	2993650	63.7	91.28
jk18x25bins.14	D_I._ruetzleri	3882369	64.6	89.47
jk18x25bins.17	D_I._ruetzleri	3499008	65.2	85.82
jk18x25bins.18	D_I._ruetzleri	4530593	40.3	86.12
jk18x25bins.22	D_I._ruetzleri	4067373	67.6	88.58
jk18x25bins.25	D_I._ruetzleri	3663456	60.2	90.75
jk18x25bins.28	D_I._ruetzleri	3798473	61.7	90.64
jk18x25bins.29	D_I._ruetzleri	6008422	64	85.82
jk18x25bins.33	D_I._ruetzleri	2735715	44.1	88.81
jk18x25bins.51	D_I._ruetzleri	4506548	68.7	93.85
jk18x25bins.56	D_I._ruetzleri	4839711	48.2	89.77
jk18x25bins.57	D_I._ruetzleri	3862678	70.3	91.63
jk18x25bins.58	D_I._ruetzleri	5154779	60.4	88.63
jk18x25bins.60	D_I._ruetzleri	5360705	64.1	88.06
jk18x25bins.61	D_I._ruetzleri	3020274	60.5	90.2
jk18x25bins.66	D_I._ruetzleri	3786432	68.4	92.09
jk18x25bins.70	D_I._ruetzleri	4754872	58.1	90.59
jk18x25bins.8	D_I._ruetzleri	3212988	63.3	91.18
jk18x25bins.82	D_I._ruetzleri	4466714	69.3	92.75
jk18x25bins.86	D_I._ruetzleri	3505736	62.3	90.81
jk18x25bins.87	D_I._ruetzleri	3149712	47.1	88.01
jk18x25bins.39	D_I._ruetzleri	5919133	58.8	93.03
jk18x25bins.41	D_I._ruetzleri	2576145	70.3	92.36
jk18x25bins.5	D_I._ruetzleri	4478634	63.4	91.22
jk18x25bins.43	D_I._ruetzleri	4711751	68.8	88.89
jk18x25bins.9	D_I._ruetzleri	2888612	64.3	91.82
jk18x11bins.12	I_I._campana	4832465	41.8	89.27
jk18x11bins.2	I_I._campana	2800960	61.1	90.59
jk18x11bins.22	I_I._campana	1826842	50.7	90.85
jk18x11bins.24	I_I._campana	4413592	67.5	88.1
jk18x11bins.26	I_I._campana	4488167	68.7	93.83
jk18x11bins.34	I_I._campana	2861414	62	90.62
jk18x11bins.4	I_I._campana	3767610	64.9	93.33
jk18x11bins.40	I_I._campana	4796200	67.7	91.24
jk18x11bins.48	I_I._campana	3783429	51.4	88.32
jk18x11bins.51	I_I._campana	4140768	58.6	90.14
jk18x11bins.53	I_I._campana	3852133	62.5	87.38
jk18x11bins.54	I_I._campana	3797146	67.1	91.11
jk18x11bins.6	I_I._campana	1774962	50.5	90.38
jk18x11bins.7	I_I._campana	5392186	50.9	92.53
jk18x8bins.13	I_I._campana	5686363	47.7	87.53
jk18x8bins.18	I_I._campana	4152573	59.5	89.11
jk18x8bins.2	I_I._campana	2207226	60.5	85.27
jk18x8bins.21	I_I._campana	3051112	63.1	81.25
jk18x8bins.27	I_I._campana	4267033	58.9	89.77
jk18x8bins.28	I_I._campana	5020844	60.6	86.18
jk18x8bins.29	I_I._campana	2261279	51.1	88.33
jk18x8bins.7	I_I._campana	4721762	68.2	89.41
jk18x7bins.10	J_I._cf._reteplana	4068271	58.2	90.92
jk18x7bins.100	J_I._cf._reteplana	3365424	65.6	89.09
jk18x7bins.101	J_I._cf._reteplana	3265347	59.4	90.56
jk18x7bins.104	J_I._cf._reteplana	3753675	65	90.49
jk18x7bins.108	J_I._cf._reteplana	3746776	66.8	84.47
jk18x7bins.13	J_I._cf._reteplana	3385173	54.6	89.31
jk18x7bins.23	J_I._cf._reteplana	4180195	58.5	89.88
jk18x7bins.24	J_I._cf._reteplana	4035030	59.8	89.13
jk18x7bins.26	J_I._cf._reteplana	4813171	61.7	86.4
jk18x7bins.3	J_I._cf._reteplana	4975948	68.3	88.2
jk18x7bins.31	J_I._cf._reteplana	2314919	56.7	88.5
jk18x7bins.32	J_I._cf._reteplana	2504980	62	90.83
jk18x7bins.36	J_I._cf._reteplana	4451420	40.1	87.41
jk18x7bins.44	J_I._cf._reteplana	3368419	63	80.56
jk18x7bins.45	J_I._cf._reteplana	4831205	65.6	86.55
jk18x7bins.47	J_I._cf._reteplana	3706890	67.5	88.63
jk18x7bins.48	J_I._cf._reteplana	2148527	60.2	85.02
jk18x7bins.5	J_I._cf._reteplana	5604615	49.8	87.58
jk18x7bins.52	J_I._cf._reteplana	4829499	58	90.72
jk18x7bins.54	J_I._cf._reteplana	3798376	62	90.59
jk18x7bins.57	J_I._cf._reteplana	3535856	70.5	91.12
jk18x7bins.59	J_I._cf._reteplana	5037209	68.4	88.62
jk18x7bins.67	J_I._cf._reteplana	4665660	66.7	87.61
jk18x7bins.70	J_I._cf._reteplana	4410550	67.7	91.35
jk18x7bins.73	J_I._cf._reteplana	3606532	60.2	90.98
jk18x7bins.79	J_I._cf._reteplana	2544548	56.7	90.42
jk18x7bins.8	J_I._cf._reteplana	2556949	49.7	87.85
jk18x7bins.84	J_I._cf._reteplana	1710610	62	91.57
jk18x7bins.9	J_I._cf._reteplana	4604569	50.7	92.52
jk18x7bins.92	J_I._cf._reteplana	4796143	59.2	84.29
jk18x7bins.95	J_I._cf._reteplana	5041421	68.2	88.92
jk18x9bins.12	J_I._cf._reteplana	4359252	67.8	92.31
jk18x9bins.14	J_I._cf._reteplana	3455935	63.6	90.69
jk18x9bins.15	J_I._cf._reteplana	3510296	59.2	91.41
jk18x9bins.18	J_I._cf._reteplana	4870236	51	92.79
jk18x9bins.20	J_I._cf._reteplana	3546236	62.5	87.31
jk18x9bins.27	J_I._cf._reteplana	3552445	67.7	92.05
jk18x9bins.28	J_I._cf._reteplana	3742478	69.8	92.13
jk18x9bins.33	J_I._cf._reteplana	5365633	47.8	87.72
jk18x9bins.35	J_I._cf._reteplana	2910643	43.1	85.89
jk18x9bins.40	J_I._cf._reteplana	4289885	68.1	89.7
jk18x9bins.46	J_I._cf._reteplana	4401535	68.2	90.82
jk18x9bins.50	J_I._cf._reteplana	4980426	65	87.37
jk18x9bins.53	J_I._cf._reteplana	2721176	65.2	92.2
jk18x9bins.56	J_I._cf._reteplana	4380128	68.7	93.94
jk18x9bins.57	J_I._cf._reteplana	3484285	68.4	90.65
jk18x9bins.60	J_I._cf._reteplana	1574799	50.1	90.19
jk18x9bins.61	J_I._cf._reteplana	3667285	58.3	89.97
jk18x9bins.65	J_I._cf._reteplana	4534173	41.5	86.56
jk18x9bins.74	J_I._cf._reteplana	3484893	65.2	93.53
jk18x9bins.76	J_I._cf._reteplana	4828019	69.5	88.01
jk18x9bins.84	J_I._cf._reteplana	3757546	63.2	90.14
jk18x9bins.85	J_I._cf._reteplana	4299609	48.3	90.02
jk18x9bins.87	J_I._cf._reteplana	3712701	51.5	88.29
jk18x9bins.88	J_I._cf._reteplana	4384728	67.7	90.02
jk18x9bins.9	J_I._cf._reteplana	4689379	60.7	86.36
p16x43bins.1	E_I._lowi	3455068	69.7	90.86
p16x43bins.13	E_I._lowi	3138195	63.5	90.25
p16x43bins.26	E_I._lowi	4828974	68.4	89.83
p16x43bins.30	E_I._lowi	6255866	58.7	92.8
p16x43bins.35	E_I._lowi	3291024	67.5	92.58
p16x43bins.4	E_I._lowi	3682281	51.7	88.51
p16x43bins.45	E_I._lowi	4944655	60.4	89.15
p16x43bins.48	E_I._lowi	3174276	64.9	89.34
p16x43bins.5	E_I._lowi	4713777	60.9	87.16
p16x43bins.54	E_I._lowi	3923466	64.8	89.57
p16x43bins.55	E_I._lowi	3875813	60.3	85.99
p16x43bins.57	E_I._lowi	4087103	59.4	89.32
p16x43bins.60	E_I._lowi	2559037	56.4	87.78
p16x43bins.62	E_I._lowi	4451831	51.3	93.06
p16x43bins.65	E_I._lowi	2925913	61.5	92.8
p16x43bins.66	E_I._lowi	2856590	61	90.4
p16x43bins.9	E_I._lowi	1739203	51.4	90.59
p16x44bins.13	E_I._lowi	4166888	68.8	94.27
p16x44bins.17	E_I._lowi	3126287	47.1	88.06
p16x44bins.19	E_I._lowi	4142065	64.5	92.69
p16x44bins.21	E_I._lowi	4218062	58.8	88.95
p16x44bins.23	E_I._lowi	1659430	62	90.84
p16x44bins.24	E_I._lowi	6177257	47.7	88.83
p16x44bins.4	E_I._lowi	4692606	58.1	90.63
p16x44bins.42	E_I._lowi	3628302	65.7	88.42
p16x44bins.48	E_I._lowi	4671110	48.3	89.4
p16x44bins.53	E_I._lowi	4042993	67.5	88.56
p16x44bins.54	E_I._lowi	5811919	47.5	88.22
p16x44bins.6	E_I._lowi	3602448	65.4	86.24
p16x44bins.9	E_I._lowi	2618807	44.3	89.31
jk18x1bzbins.11	B_I._felix	4964149	69.3	91.65
jk18x1bzbins.18	B_I._felix	5624549	47.7	89.18
jk18x1bzbins.19	B_I._felix	3889421	61.9	90.23
jk18x1bzbins.24	B_I._felix	5198253	61.7	86.92
jk18x1bzbins.25	B_I._felix	6135135	47.6	88.75
jk18x1bzbins.27	B_I._felix	4866986	70.2	93.56
jk18x1bzbins.28	B_I._felix	3584073	67.5	92.67
jk18x1bzbins.29	B_I._felix	3791936	62.8	86.89
jk18x1bzbins.34	B_I._felix	4679395	65.5	89.83
jk18x1bzbins.36	B_I._felix	5568535	50.6	83.01
jk18x1bzbins.37	B_I._felix	5363005	60	85.06
jk18x1bzbins.39	B_I._felix	5326528	63.3	89.16
jk18x1bzbins.41	B_I._felix	3002002	65	91.67
jk18x1bzbins.42	B_I._felix	5695786	51	92.52
jk18x1bzbins.48	B_I._felix	4933343	69.4	88.87
jk18x1bzbins.53	B_I._felix	5965398	63.9	88.16
jk18x1bzbins.55	B_I._felix	4714322	58	90.56
jk18x1bzbins.57	B_I._felix	2418325	56.5	87.44
jk18x1bzbins.60	B_I._felix	1784951	50.4	89.51
jk18x1bzbins.61	B_I._felix	3432623	56.7	93.09
jk18x1bzbins.63	B_I._felix	4085682	58.8	89.33
jk18x1bzbins.64	B_I._felix	3984390	69.4	89.06
jk18x1bzbins.66	B_I._felix	2385782	66.9	92.15
jk18x1bzbins.67	B_I._felix	4144006	65.5	88.23
jk18x1bzbins.7	B_I._felix	4617834	62.4	87.52
jk18x1bzbins.72	B_I._felix	5093395	47.1	88.22
jk18x1bzbins.73	B_I._felix	4388733	68.6	94.12
jk18x1bzbins.74	B_I._felix	3452426	65	94
jk18x1bzbins.75	B_I._felix	4627015	67.5	89.85
jk18x1bzbins.77	B_I._felix	3275917	69.1	93.71
jk18x1bzbins.78	B_I._felix	6043612	49.9	86.87
jk18x1bzbins.79	B_I._felix	3775265	61.6	85.95
jk18x1bzbins.81	B_I._felix	4384395	64.4	92.92
jk18x1bzbins.83	B_I._felix	4393182	67.5	91.6
jk18x1bzbins.85	B_I._felix	6230357	66.1	86.94
jk18x1bzbins.86	B_I._felix	2735415	69.4	92.58
jk18x1bzbins.87	B_I._felix	2490333	59.8	84.86
jk18x1bzbins.88	B_I._felix	6157998	58.7	92.82
jk18x1bzbins.9	B_I._felix	3165920	67.7	88.41
jk18xAbins.10	B_I._felix	3750259	51.2	89.35
jk18xAbins.11	B_I._felix	1627159	51.6	91.27
jk18xAbins.18	B_I._felix	3403639	64.7	93.43
jk18xAbins.19	B_I._felix	5634213	41.2	86.69
jk18xAbins.2	B_I._felix	4547484	58	90.18
jk18xAbins.20	B_I._felix	3037137	43.1	84.94
jk18xAbins.24	B_I._felix	5686627	47.4	88.86
jk18xAbins.25	B_I._felix	6000819	50	87.33
jk18xAbins.26	B_I._felix	3310788	67.3	92.56
jk18xAbins.27	B_I._felix	6946379	63.5	88.33
jk18xAbins.29	B_I._felix	3215086	61.7	90.78
jk18xAbins.3	B_I._felix	2950031	67.3	89.43
jk18xAbins.31	B_I._felix	2815196	60.8	90.26
jk18xAbins.40	B_I._felix	2482794	56.3	88.08
jk18xAbins.42	B_I._felix	3679169	51.5	88.12
jk18xAbins.44	B_I._felix	3381995	61.2	89.46
jk18xAbins.45	B_I._felix	4408255	57.9	90.56
jk18xAbins.46	B_I._felix	4397938	62.4	87.3
jk18xAbins.48	B_I._felix	4001897	68.3	90.21
jk18xAbins.49	B_I._felix	3487512	56.6	93.02
jk18xAbins.50	B_I._felix	4968181	48.6	88.2
jk18xAbins.51	B_I._felix	2086968	60.1	84.55
jk18xAbins.52	B_I._felix	3189184	69.1	90.26
jk18xAbins.55	B_I._felix	3548874	65.7	88.74
jk18xAbins.6	B_I._felix	4477025	68.6	93.55
jk18xAbins.60	B_I._felix	3561540	65.4	85.7
jk18xAbins.61	B_I._felix	1807227	61.8	90.91
jk18xAbins.63	B_I._felix	5488239	59.7	85.77
jk18xAbins.67	B_I._felix	4865707	60.5	89.4
p16x57bins.10	G_I._laeviconulosa	5120417	60.8	86.86
p16x57bins.12	G_I._laeviconulosa	3438613	65	93.8
p16x57bins.13	G_I._laeviconulosa	3733655	64.8	90.19
p16x57bins.17	G_I._laeviconulosa	1574925	51.6	90.84
p16x57bins.24	G_I._laeviconulosa	4435654	67.6	90.22
p16x57bins.27	G_I._laeviconulosa	3296620	65.9	88.82
p16x57bins.32	G_I._laeviconulosa	3369953	66.8	86.01
p16x57bins.35	G_I._laeviconulosa	6021571	58.8	93.27
p16x57bins.38	G_I._laeviconulosa	3845277	61.1	84.47
p16x57bins.39	G_I._laeviconulosa	3098162	61.3	89.53
p16x57bins.40	G_I._laeviconulosa	3342077	62.6	91.03
p16x57bins.41	G_I._laeviconulosa	4445256	61.1	86.6
p16x57bins.45	G_I._laeviconulosa	4396077	68.7	90.71
p16x57bins.56	G_I._laeviconulosa	2468524	56.1	90.5
p16x60bins.11	G_I._laeviconulosa	3520569	62.6	87.86
p16x60bins.17	G_I._laeviconulosa	3504362	63.3	89.46
p16x60bins.18	G_I._laeviconulosa	4147548	59.5	89.26
p16x60bins.21	G_I._laeviconulosa	3000371	70.1	91.91
p16x60bins.22	G_I._laeviconulosa	3887711	69.3	93.09
p16x60bins.27	G_I._laeviconulosa	6067373	64	88.12
p16x60bins.32	G_I._laeviconulosa	2653232	61.4	90.97
p16x60bins.37	G_I._laeviconulosa	4806814	67.8	90.54
p16x60bins.38	G_I._laeviconulosa	2336387	60.1	85.5
p16x60bins.4	G_I._laeviconulosa	3533040	63.7	90.5
p16x60bins.49	G_I._laeviconulosa	5336326	51	92.74
p16x60bins.55	G_I._laeviconulosa	4002789	67.5	88.91
p16x60bins.57	G_I._laeviconulosa	4507562	68.8	94.26
p16x60bins.58	G_I._laeviconulosa	2742417	66.9	90.27
p16x60bins.61	G_I._laeviconulosa	3217957	64.9	89.15
p16x60bins.63	G_I._laeviconulosa	3175915	47	87.78
p16x60bins.66	G_I._laeviconulosa	3273961	67.9	92.6
p16x60bins.67	G_I._laeviconulosa	2620929	44.2	89.62
p16x60bins.8	G_I._laeviconulosa	4640509	58	90.87
p16x60bins.9	G_I._laeviconulosa	2418870	70.6	92.65
p16x33bins.15	H_I._radix	5028038	48.2	89.57
p16x33bins.19	H_I._radix	1729869	50.5	90.15
p16x33bins.2	H_I._radix	4407373	64.3	92.26
p16x33bins.23	H_I._radix	5370201	47.5	87.77
p16x33bins.28	H_I._radix	3526578	68.6	91.03
p16x33bins.3	H_I._radix	4022382	59.5	89.28
p16x33bins.34	H_I._radix	3409246	65	92.48
p16x33bins.37	H_I._radix	3388574	51.5	88.55
p16x33bins.38	H_I._radix	3239241	60.5	83.86
p16x33bins.39	H_I._radix	4785293	61	87.13
p16x33bins.42	H_I._radix	4905262	41.8	88.35
p16x33bins.47	H_I._radix	4293791	58.8	88.85
p16x33bins.48	H_I._radix	3875248	67.4	91.76
p16x33bins.5	H_I._radix	2570326	56.6	87.61
