,means,paired,phylum,class,class_fraction
jk18x1bzbins_75,0.126858486,jk18x1bzbins_75,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18x22bins_31,0.105853493,jk18x22bins_31,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18x22bins_41,0.093169761,jk18x22bins_41,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18x27bins_25,0.112372397,jk18x27bins_25,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18x27bins_37,0.073723631,jk18x27bins_37,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18x7bins_59,0.115195911,jk18x7bins_59,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18x8bins_7,0.101270272,jk18x8bins_7,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18x9bins_84,0.071018609,jk18x9bins_84,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18x9bins_88,0.104406867,jk18x9bins_88,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18xAbins_48,0.10128809,jk18xAbins_48,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
p16x34bins_31,0.090124341,p16x34bins_31,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
p16x43bins_5,0.087002767,p16x43bins_5,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
p16x44bins_53,0.078636874,p16x44bins_53,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
p16x44bins_6,0.108414107,p16x44bins_6,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
p16x65bins_51,0.085477778,p16x65bins_51,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_Zgenome
jk18x1bzbins_75,0.0245455,jk18x1bzbins_75,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18x22bins_31,0.0563636,jk18x22bins_31,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18x22bins_41,0.0598111,jk18x22bins_41,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18x27bins_25,0.0463636,jk18x27bins_25,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18x27bins_37,0.0190909,jk18x27bins_37,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18x7bins_59,0.03,jk18x7bins_59,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18x8bins_7,0.0409091,jk18x8bins_7,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18x9bins_84,0.0063636,jk18x9bins_84,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18x9bins_88,0.0327273,jk18x9bins_88,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18xAbins_48,0.0581818,jk18xAbins_48,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
p16x34bins_31,0.0309091,p16x34bins_31,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
p16x43bins_5,0.0725295,p16x43bins_5,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
p16x44bins_53,0.0227273,p16x44bins_53,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
p16x44bins_6,0.0663636,p16x44bins_6,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
p16x65bins_51,0.0679964,p16x65bins_51,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_AK00222
jk18x1bzbins_75,0.0597715,jk18x1bzbins_75,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18x22bins_31,0.077194,jk18x22bins_31,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18x22bins_41,0.0369831,jk18x22bins_41,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18x27bins_25,0.0583065,jk18x27bins_25,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18x27bins_37,0.0316994,jk18x27bins_37,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18x7bins_59,0.0759813,jk18x7bins_59,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18x8bins_7,0.0479252,jk18x8bins_7,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18x9bins_84,0.0428907,jk18x9bins_84,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18x9bins_88,0.0636792,jk18x9bins_88,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18xAbins_48,0.0742574,jk18xAbins_48,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
p16x34bins_31,0.0365566,p16x34bins_31,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
p16x43bins_5,0.1033982,p16x43bins_5,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
p16x44bins_53,0.0192196,p16x44bins_53,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
p16x44bins_6,0.0806597,p16x44bins_6,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
p16x65bins_51,0.1042695,p16x65bins_51,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_EK01852
jk18x1bzbins_75,0.0149042,jk18x1bzbins_75,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18x22bins_31,0.0580737,jk18x22bins_31,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18x22bins_41,0.0163236,jk18x22bins_41,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18x27bins_25,0.0390348,jk18x27bins_25,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18x27bins_37,0.0134561,jk18x27bins_37,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18x7bins_59,0.0292354,jk18x7bins_59,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18x8bins_7,0.0276792,jk18x8bins_7,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18x9bins_84,0.0317348,jk18x9bins_84,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18x9bins_88,0.0440028,jk18x9bins_88,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18xAbins_48,0.0567779,jk18xAbins_48,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
p16x34bins_31,0.0198723,p16x34bins_31,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
p16x43bins_5,0.1162311,p16x43bins_5,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
p16x44bins_53,0.0177431,p16x44bins_53,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
p16x44bins_6,0.0678233,p16x44bins_6,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
p16x65bins_51,0.1114327,p16x65bins_51,p__Proteobacteria,1_c__Alphaproteobacteria,1_c__Alphaproteobacteria_CK05917
jk18x11bins_34,0.118429523,jk18x11bins_34,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x11bins_53,0.058496093,jk18x11bins_53,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x1bzbins_11,0.101665847,jk18x1bzbins_11,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x1bzbins_61,0.094018827,jk18x1bzbins_61,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x22bins_18,0.033388187,jk18x22bins_18,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x22bins_30,0.087340577,jk18x22bins_30,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x22bins_52,0.099501602,jk18x22bins_52,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x22bins_60,0.12133563,jk18x22bins_60,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x25bins_5,0.132081383,jk18x25bins_5,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x25bins_87,0.082876565,jk18x25bins_87,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x34bins_59,0.107959068,jk18x34bins_59,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x40bins_47,0.028650351,jk18x40bins_47,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x7bins_32,0.123162105,jk18x7bins_32,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x7bins_8,0.045231985,jk18x7bins_8,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18xAbins_10,0.022376437,jk18xAbins_10,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18xAbins_44,0.11146876,jk18xAbins_44,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
p16x33bins_2,0.084099526,p16x33bins_2,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
p16x34bins_24,0.088597965,p16x34bins_24,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
p16x57bins_39,0.119437109,p16x57bins_39,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
p16x60bins_11,0.059666201,p16x60bins_11,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
p16x60bins_63,0.085027157,p16x60bins_63,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
p16x65bins_14,0.087051602,p16x65bins_14,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_Zgenome
jk18x11bins_34,0.1084112,jk18x11bins_34,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x11bins_53,0.0182815,jk18x11bins_53,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x1bzbins_11,0.0592525,jk18x1bzbins_11,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x1bzbins_61,0.019039,jk18x1bzbins_61,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x22bins_18,0.0643902,jk18x22bins_18,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x22bins_30,0.0398912,jk18x22bins_30,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x22bins_52,0.0915684,jk18x22bins_52,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x22bins_60,0.1073647,jk18x22bins_60,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x25bins_5,0.0398912,jk18x25bins_5,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x25bins_87,0.0336364,jk18x25bins_87,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x34bins_59,0.0514064,jk18x34bins_59,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x40bins_47,0.0073126,jk18x40bins_47,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x7bins_32,0.1015413,jk18x7bins_32,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x7bins_8,0.0638704,jk18x7bins_8,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18xAbins_10,0.0139405,jk18xAbins_10,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18xAbins_44,0.1024479,jk18xAbins_44,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
p16x33bins_2,0.0501859,p16x33bins_2,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
p16x34bins_24,0.03156,p16x34bins_24,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
p16x57bins_39,0.0979148,p16x57bins_39,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
p16x60bins_11,0.0173675,p16x60bins_11,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
p16x60bins_63,0.03,p16x60bins_63,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
p16x65bins_14,0.0483271,p16x65bins_14,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_AK00222
jk18x11bins_34,0.1292478,jk18x11bins_34,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_EK01852
jk18x11bins_53,0.0268942,jk18x11bins_53,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_EK01852
jk18x1bzbins_11,0.1026627,jk18x1bzbins_11,p__Proteobacteria,2_c__Gammaproteobacteria,2_c__Gammaproteobacteria_EK01852
