VXNF01000058_1_,GCA_009840735.1,Actinobacteriota,Acidimicrobiia,Microtrichales,Bin134,,
k141_367051,p16x60bins.27,Acidobacteriota,Acidobacteriae,Bryobacterales,UBA6623,,
VXVH01000129_1_,GCA_009836525.1,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_562141,jk18x11bins.24,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_772177,jk18x1bzbins.75,Proteobacteria,Alphaproteobacteria,UBA828,UBA828,,
k141_125794,jk18x22bins.31,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_813214,jk18x22bins.41,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,
k141_179676,jk18x25bins.22,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_593342,jk18x25bins.8,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,,,
k141_1351695,jk18x27bins.11,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_1081210,jk18x27bins.25,Proteobacteria,Alphaproteobacteria,UBA828,UBA828,,
k141_433742,jk18x27bins.37,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,,,
k141_239276,jk18x34bins.12,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,
k141_508719,jk18x34bins.29,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,,,
k141_469756,jk18x7bins.59,Proteobacteria,Alphaproteobacteria,UBA828,UBA828,,
k141_98869,jk18x8bins.7,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_221715,jk18x9bins.84,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,,,
k141_431810,jk18x9bins.88,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_1014631,jk18xAbins.48,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_1017789,p16x33bins.28,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_18952,p16x34bins.31,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,
k141_406038,p16x43bins.26,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_63071,p16x43bins.5,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Silicimonas,
k141_524271,p16x44bins.53,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_205191,p16x44bins.6,Proteobacteria,Alphaproteobacteria,UBA7887,,,
k141_440925,p16x57bins.41,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Silicimonas,
k141_131223,p16x57bins.45,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_856142,p16x60bins.37,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,
k141_194671,p16x60bins.55,Proteobacteria,Alphaproteobacteria,Bin65,Bin65,Bin65,
k141_254239,p16x65bins.40,Proteobacteria,Alphaproteobacteria,Bin95,Bin95,Bin95,
k141_66698,p16x65bins.51,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Silicimonas,
k141_338165,jk18x34bins.53,Binatota,Binatia,Bin18,Bin18,Bin18,
k141_2166396,jk18x7bins.52,Binatota,Binatia,Bin18,Bin18,Bin18,
k141_1235393,jk18xAbins.2,Binatota,Binatia,Bin18,Bin18,Bin18,
k141_119330,p16x34bins.64,Binatota,Binatia,Bin18,Bin18,Bin18,
k141_1854937,p16x44bins.4,Binatota,Binatia,Bin18,Bin18,Bin18,
k141_854900,p16x60bins.8,Binatota,Binatia,Bin18,Bin18,Bin18,
k141_825801,p16x65bins.41,Binatota,Binatia,Bin18,Bin18,Bin18,
VXUY01000022_1_,GCA_009836695.1,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
VXPF01000082_1_,GCA_009839725.1,Chloroflexota,Dehalococcoidia,UBA2991,UBA2991,UBA2991,
VXOA01000026_1_,GCA_009840315.1,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
VXLP01000009_1_,GCA_009841545.1,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
VYFJ01000009_1_,GCA_009842405.1,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
VXYU01000059_1_,GCA_009845885.1,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
k141_709338,jk18x1bzbins.41,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
k141_124588,jk18x22bins.80,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
k141_642020,jk18x25bins.9,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
k141_70560,jk18x34bins.13,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
k141_684751,p16x43bins.48,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
k141_717757,p16x60bins.61,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
k141_621503,p16x63bins.52,Chloroflexota,Dehalococcoidia,Bin125,Bin125,Bin125,
VXPJ01000092_1_,GCA_009839635.1,Proteobacteria,Gammaproteobacteria,UBA4575,UBA4575,,
VYFG01000099_1_,GCA_009842505.1,Proteobacteria,Gammaproteobacteria,UBA10353,LS-SOB,,
VYCF01000065_1_,GCA_009844085.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
k141_1457093,jk18x11bins.34,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,,
k141_1181153,jk18x11bins.53,Proteobacteria,Gammaproteobacteria,UBA10353,LS-SOB,,
k141_728604,jk18x1bzbins.11,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,,
k141_1020486,jk18x1bzbins.61,Proteobacteria,Gammaproteobacteria,UBA4486,UBA4486,,
k141_87023,jk18x1bzbins.81,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA2168,
k141_782728,jk18x22bins.18,Proteobacteria,Gammaproteobacteria,UBA10353,LS-SOB,,Bin18 sp002238415
k141_14565,jk18x22bins.30,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,FEN-1219,
k141_262221,jk18x22bins.52,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,,
k141_221542,jk18x22bins.60,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,,
k141_356029,jk18x25bins.14,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,FEN-1219,
k141_720591,jk18x25bins.5,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,,
k141_574470,jk18x25bins.87,Proteobacteria,Gammaproteobacteria,UBA10353,,,
k141_813727,jk18x27bins.16,Proteobacteria,Gammaproteobacteria,UBA10353,LS-SOB,,
k141_29695,jk18x27bins.27,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,FEN-1219,
k141_3364,jk18x27bins.66,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,,
k141_467165,jk18x34bins.22,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA9145,
k141_187261,jk18x34bins.59,Proteobacteria,Gammaproteobacteria,UBA4575,UBA4575,,
k141_2697227,jk18x40bins.47,Proteobacteria,Gammaproteobacteria,UBA10353,UBA5680,,
k141_2727539,jk18x7bins.104,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,FEN-1219,
k141_2384862,jk18x7bins.32,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,,
k141_1123632,jk18x7bins.8,Proteobacteria,Gammaproteobacteria,UBA10353,LS-SOB,,
k141_479360,jk18x9bins.20,Proteobacteria,Gammaproteobacteria,UBA10353,LS-SOB,,
k141_203481,jk18xAbins.10,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,Bin55,
k141_952455,jk18xAbins.44,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,,
k141_288253,p16x33bins.2,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA2168,
k141_677482,p16x34bins.24,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,FEN-1219,
k141_302722,p16x43bins.54,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,FEN-1219,
k141_358617,p16x43bins.65,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,,
k141_692816,p16x44bins.17,Proteobacteria,Gammaproteobacteria,UBA10353,,,
k141_1521471,p16x44bins.19,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA2168,
k141_160272,p16x57bins.13,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,FEN-1219,
k141_792160,p16x57bins.39,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,,
k141_339243,p16x60bins.11,Proteobacteria,Gammaproteobacteria,UBA10353,LS-SOB,,
k141_212548,p16x60bins.63,Proteobacteria,Gammaproteobacteria,UBA10353,,,
k141_88787,p16x65bins.1,Proteobacteria,Gammaproteobacteria,UBA6522,UBA6522,FEN-1219,
k141_913059,p16x65bins.14,Proteobacteria,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA2168,
k141_97212,jk18x9bins.12,Gemmatimonadota,Gemmatimonadetes,SG8-23,UBA6960,Bin94,
VXOF01000092_1_,GCA_009840285.1,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
k141_970324,jk18x1bzbins.57,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
k141_622183,jk18x22bins.71,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
k141_1301043,jk18x40bins.30,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
k141_2294825,jk18x7bins.31,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
k141_1094237,jk18xAbins.40,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
k141_927739,p16x33bins.5,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
k141_663588,p16x43bins.60,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
k141_835293,p16x63bins.32,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
VXWC01000100_1_,GCA_009836145.1,Nitrospirota,Nitrospiria,Nitrospirales,UBA8639,Bin75,
k141_564894,jk18x11bins.2,Bacteroidota,Rhodothermia,Rhodothermales,,,
k141_268402,jk18x11bins.48,Bacteroidota,Rhodothermia,Rhodothermales,Bin80,Bin80,
k141_431527,jk18x22bins.66,Bacteroidota,Rhodothermia,Rhodothermales,Bin80,Bin80,
k141_375062,jk18x25bins.61,Bacteroidota,Rhodothermia,Rhodothermales,,,
k141_530823,jk18x34bins.15,Bacteroidota,Rhodothermia,Rhodothermales,,,
k141_58738,jk18x9bins.87,Bacteroidota,Rhodothermia,Rhodothermales,Bin80,Bin80,
k141_698312,jk18xAbins.31,Bacteroidota,Rhodothermia,Rhodothermales,,,
k141_212514,jk18xAbins.42,Bacteroidota,Rhodothermia,Rhodothermales,Bin80,Bin80,
k141_886407,p16x43bins.4,Bacteroidota,Rhodothermia,Rhodothermales,Bin80,Bin80,
k141_366489,p16x43bins.66,Bacteroidota,Rhodothermia,Rhodothermales,,,
k141_45740,p16x60bins.32,Bacteroidota,Rhodothermia,Rhodothermales,,,
k141_102737,p16x63bins.1,Bacteroidota,Rhodothermia,Rhodothermales,Bin80,Bin80,
k141_376493,jk18x34bins.43,UBA8248,UBA8248,UBA8248,UBA8248,Bin107,
k141_104580,jk18x7bins.13,Verrucomicrobiota,Verrucomicrobiae,Opitutales,UBA2995,UBA2995,